"","School.Code","School.Name","School.Type","Function","Contact.Name","Address.1","Address.2","Town","State","Zip","Phone","Fax","Grade","District.Name","District.Code","PK_Enrollment","K_Enrollment","X1_Enrollment","X2_Enrollment","X3_Enrollment","X4_Enrollment","X5_Enrollment","X6_Enrollment","X7_Enrollment","X8_Enrollment","X9_Enrollment","X10_Enrollment","X11_Enrollment","X12_Enrollment","SP_Enrollment","TOTAL_Enrollment","First.Language.Not.English","X..First.Language.Not.English","English.Language.Learner","X..English.Language.Learner","Students.With.Disabilities","X..Students.With.Disabilities","High.Needs","X..High.Needs","Economically.Disadvantaged","X..Economically.Disadvantaged","X..African.American","X..Asian","X..Hispanic","X..White","X..Native.American","X..Native.Hawaiian..Pacific.Islander","X..Multi.Race..Non.Hispanic","X..Males","X..Females","Total...of.Classes","Average.Class.Size","Number.of.Students","Salary.Totals","Average.Salary","FTE.Count","In.District.Expenditures","Total.In.district.FTEs","Average.In.District.Expenditures.per.Pupil","Total.Expenditures","Total.Pupil.FTEs","Average.Expenditures.per.Pupil","X..in.Cohort","X..Graduated","X..Still.in.School","X..Non.Grad.Completers","X..GED","X..Dropped.Out","X..Permanently.Excluded","High.School.Graduates....","Attending.Coll..Univ.....","X..Attending.College","X..Private.Two.Year","X..Private.Four.Year","X..Public.Two.Year","X..Public.Four.Year","X..MA.Community.College","X..MA.State.University","X..UMass","AP_Test.Takers","AP_Tests.Taken","AP_One.Test","AP_Two.Tests","AP_Three.Tests","AP_Four.Tests","AP_Five.or.More.Tests","AP_Score.1","AP_Score.2","AP_Score.3","AP_Score.4","AP_Score.5","X..AP_Score.1.2","X..AP_Score.3.5","SAT_Tests.Taken","Average.SAT_Reading","Average.SAT_Writing","Average.SAT_Math","MCAS_10thGrade_Math_P.A..","X..MCAS_10thGrade_Math_P.A","MCAS_10thGrade_Math_A..","X..MCAS_10thGrade_Math_A","MCAS_10thGrade_Math_P..","X..MCAS_10thGrade_Math_P","MCAS_10thGrade_Math_NI..","X..MCAS_10thGrade_Math_NI","MCAS_10thGrade_Math_W.F..","X..MCAS_10thGrade_Math_W.F","MCAS_10thGrade_Math_Stud..Incl...","MCAS_10thGrade_Math_CPI","MCAS_10thGrade_Math_SGP","MCAS_10thGrade_Math_Incl..in.SGP...","MCAS_10thGrade_English_P.A..","X..MCAS_10thGrade_English_P.A","MCAS_10thGrade_English_A..","X..MCAS_10thGrade_English_A","MCAS_10thGrade_English_P..","X..MCAS_10thGrade_English_P","MCAS_10thGrade_English_NI..","X..MCAS_10thGrade_English_NI","MCAS_10thGrade_English_W.F..","X..MCAS_10thGrade_English_W.F","MCAS_10thGrade_English_Stud..Incl...","MCAS_10thGrade_English_CPI","MCAS_10thGrade_English_SGP","MCAS_10thGrade_English_Incl..in.SGP...","Accountability.and.Assistance.Level","Accountability.and.Assistance.Description","School.Accountability.Percentile..1.99.","Progress.and.Performance.Index..PPI....All.Students","Progress.and.Performance.Index..PPI....High.Needs.Students","District_Accountability.and.Assistance.Level","District_Accountability.and.Assistance.Description","District_Progress.and.Performance.Index..PPI....All.Students","District_Progress.and.Performance.Index..PPI....High.Needs.Students"
"1",6000505,"Acton-Boxborough Regional High","Public School","Principal","JoAnn Kilpatrick","36 Charter Rd","","Acton","MA",1720,"978-264-4700","978-264-3345","09,10,11,12","Acton-Boxborough",6000000,0,0,0,0,0,0,0,0,0,0,448,492,456,467,1,1864,269,14.4,17,0.9,217,11.6,304,16.3,91,4.9,1.5,28.2,3.4,63,0.2,0,3.7,50.6,49.4,698,19.9,1900,29231455,80750,362,72610770.88,5643.6,12866.04,81149569.94,5789.7,14016.2,474,98.3,0.8,0,0,0.8,0,472,420,89,0.2,52.1,6.4,41.2,6,3.1,13.8,"445","1,025",156,117,88,58,26,7,49,100,303,566,5.5,94.5,421,617,608,641,421,96,385,88,36,8,11,3,5,1,437,98.4,75,371,435,99,316,72,119,27,2,0,2,0,439,99.8,57,417,"Level 1","Meeting gap narrowing goals",98,100,92,"Level 2","One or more schools in the district classified into Level 2",100,73
"2",50505,"Agawam High","Public School","Principal","Thomas Schnepp","760 Cooper Street","","Agawam","MA",1001,"413-821-0521","413-821-0536","09,10,11,12","Agawam",50000,0,0,0,0,0,0,0,0,0,0,299,309,293,315,6,1222,56,4.6,16,1.3,172,14.1,391,32,277,22.7,1.2,2.2,5.8,88.8,0,0.1,1.9,52,48,590,16.8,1242,20849537,64769,322,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21,325,94.2,1.8,0,0.3,3.7,0,288,235,81.6,0,34.5,34,31.5,33.2,15.7,8.5,"242","452",124,59,34,22,3,28,124,155,105,40,33.6,66.4,234,496,475,514,242,83,159,54,83,28,37,13,13,4,292,93,45,270,273,95,128,45,145,51,9,3,5,2,287,98.3,51,263,"Level 2","Not meeting gap narrowing goals",41,65,61,"Level 2","One or more schools in the district classified into Level 2",54,56
"3",6050505,"Amherst Regional High","Public School","Principal","Mark Jackson","21 Mattoon Street","","Amherst","MA",1002,"413-362-1701","413-549-9704","09,10,11,12","Amherst-Pelham",6050000,0,0,0,0,0,0,0,0,0,0,234,220,237,228,7,926,163,17.6,39,4.2,165,17.8,318,34.3,203,21.9,7,9.5,14.3,59.9,0.1,0,9.2,52.1,47.9,898,12.9,926,9816394,80003,123,28659615,1449.9,19766.61,32343300,1618.9,19978.57,227,91.6,4.4,0,0.9,3.1,0,246,206,83.7,0.5,46.6,27.7,25.2,26.7,2.4,14.6,"131","208",70,47,12,2,0,10,16,47,75,60,12.5,87.5,174,594,564,601,186,87,149,69,37,17,23,11,6,3,215,94.3,48,182,213,96,135,61,78,35,2,1,6,3,221,98.1,49,190,"Level 2","Not meeting gap narrowing goals",59,72,63,"Level 3","One or more schools in the district classified into Level 3",67,69
"4",90505,"Andover High","Public School","Principal","Philip Conrad","80 Shawsheen Road","","Andover","MA",1810,"978-247-5500","978-247-5770","09,10,11,12","Andover",90000,0,0,0,0,0,0,0,0,0,0,446,459,421,462,18,1806,172,9.5,14,0.8,290,16.1,377,20.9,113,6.3,1.9,14.5,5,76.3,0.1,0,2.2,48.9,51.1,1160,14.7,1799,37560123,81211,463,90103626.13,6128.1,14703.35,97309355.83,6237.1,15601.7,441,95.7,3.4,0,0.5,0.5,0,413,369,89.3,0,56.4,7.6,36,7.3,3.5,13.8,"458","843",194,177,63,16,8,51,134,204,233,221,21.9,78.1,393,566,562,581,387,95,314,77,73,18,15,4,7,2,409,97.2,54,332,402,99,272,67,130,32,4,1,2,0,408,99.5,42,310,"Level 2","Not meeting gap narrowing goals",81,85,64,"Level 2","One or more schools in the district classified into Level 2",83,57
"5",8230605,"Gr Lawrence Regional Vocational Technical","Public School","Principal","Elizabeth Freedman","57 River Rd","","Andover","MA",1810,"978-686-0194","978-687-6209","09,10,11,12","Greater Lawrence Regional Vocational Technical",8230000,0,0,0,0,0,0,0,0,0,0,415,393,340,325,0,1473,601,40.8,145,9.8,300,20.4,985,66.9,768,52.1,0.8,1,80.6,17.4,0.1,0,0.1,49.2,50.8,1374,12.7,1384,10624141,77944,136,29269031.58,1314.9,22259.51,30053278.72,1461.9,20557.68,318,95.9,0.9,0.3,0,2.8,0,304,171,56.3,0,13.5,76.6,9.9,76,4.1,4.7,"16","16",16,0,0,0,0,7,7,1,1,0,87.5,12.5,168,379,373,406,207,61,106,31,101,30,92,27,38,11,337,81.7,53,293,300,88,67,20,233,69,30,9,9,3,339,95.3,58,293,"Level 1","Meeting gap narrowing goals",28,87,96,"Level 1","Meeting gap narrowing goals",87,96
"6",100505,"Arlington High","Public School","Principal","Matthew Janger","869 Mass Avenue","","Arlington","MA",2476,"781-316-3591","781-316-3504","09,10,11,12","Arlington",100000,0,0,0,0,0,0,0,0,0,0,332,350,312,295,1,1290,160,12.4,12,0.9,143,11.1,267,20.7,133,10.3,4.1,10.7,5.7,75.6,0,0.2,3.7,49.1,50.9,682,14.3,1255,23917577,66493,360,64938117.22,5272.4,12316.61,72601544.08,5425,13382.77,318,98.1,0.3,0.3,0,1.3,0,306,260,85,0,53.5,9.6,36.9,8.5,4.6,19.6,"371","763",135,120,86,23,7,30,76,196,241,220,13.9,86.1,271,581,576,592,274,93,219,74,55,19,17,6,3,1,294,97.4,49,263,289,98,207,70,82,28,3,1,2,1,294,99.1,43.5,264,"Level 1","Meeting gap narrowing goals",73,79,86,"Level 2","One or more schools in the district classified into Level 2",76,56
"7",160505,"Attleboro High","Public School","Principal","William Runey","100 Rathbun Willard Drive","","Attleboro","MA",2703,"508-222-5150","508-223-1579","09,10,11,12","Attleboro",160000,0,0,0,0,0,0,0,0,0,0,449,401,419,392,10,1671,170,10.2,38,2.3,238,14.2,593,35.5,428,25.6,5.5,4.1,12.5,73.6,0.3,0.2,3.8,54.2,45.8,930,18.1,1724,30332791,76386,397,72586690.41,5798.7,12517.75,81366329.22,6268.4,12980.4,411,91,3.4,1,0.5,4.1,0,358,266,74.3,0,35.3,31.6,33.1,29.3,14.7,11.3,"309","520",164,89,48,6,2,70,128,146,117,59,38.1,61.9,299,494,490,504,330,82,229,57,101,25,58,14,16,4,404,92.5,37,368,371,92,213,53,158,39,24,6,8,2,403,97.8,53,370,"Level 2","Not meeting gap narrowing goals",30,75,65,"Level 2","One or more schools in the district classified into Level 2",64,52
"8",260505,"Belmont High","Public School","Principal","Dan Richards","221 Concord Avenue","","Belmont","MA",2478,"617-993-5901","617-993-5909","09,10,11,12","Belmont",260000,0,0,0,0,0,0,0,0,0,0,330,312,332,290,0,1264,209,16.5,26,2.1,72,5.7,181,14.3,82,6.5,4.6,16.8,3.5,69.9,0,0.1,5.2,46.9,53.1,459,19.2,1249,21190927,85241,249,49380142.96,4224.4,11689.27,56228501.75,4315.8,13028.52,312,97.8,0.3,0,1.3,0.6,0,275,237,86.2,0,66.7,4.6,28.7,3.8,3.4,12.2,"467","1,033",162,142,90,53,20,16,62,186,331,438,7.6,92.4,286,587,584,610,316,97,282,87,34,10,7,2,3,1,326,98.7,63.5,286,321,99,269,83,52,16,3,1,1,0,325,99.5,60,283,"Level 1","Meeting gap narrowing goals",93,93,76,"Level 1","One or more schools in the district classified into Level 1",100,81
"9",300505,"Beverly High","Public School","Principal","Elizabeth Taylor","100 Sohier Rd","","Beverly","MA",1915,"978-921-6132","978-927-9460","09,10,11,12","Beverly",300000,0,0,0,0,0,0,0,0,0,0,310,301,333,332,9,1285,53,4.1,26,2,227,17.7,452,35.2,306,23.8,3,2.7,10.8,81.2,0,0.2,2.2,49.8,50.2,607,18.9,1285,21856518,71078,308,54772903.12,4481.9,12220.91,61663547.12,4675.6,13188.37,347,90.8,4.9,0.3,0.9,3.2,0,316,242,76.6,0.4,28.9,25.2,45.5,24,16.1,12.4,"226","362",136,57,22,9,2,45,84,124,65,44,35.6,64.4,241,517,511,523,259,82,192,61,67,21,37,12,21,7,317,91.4,45,270,291,92,195,62,96,30,20,6,6,2,317,96.8,42,272,"Level 2","Not meeting gap narrowing goals",39,68,53,"Level 2","One or more schools in the district classified into Level 2",75,64
"10",8710605,"Shawsheen Valley Vocational Technical High School","Public School","Principal","Robert Kanellas","100 Cook Street","","Billerica","MA",1821,"978-667-2111","978-663-6272","09,10,11,12","Shawsheen Valley Regional Vocational Technical",8710000,0,0,0,0,0,0,0,0,0,0,340,327,344,325,0,1336,12,0.9,0,0,321,24,445,33.3,175,13.1,1.5,0.7,4.3,91.5,0.3,0,1.6,57.5,42.5,574,16.7,1334,10716903,82948,129,26682124.84,1367.7,19508.76,26799890.84,1388.7,19298.55,337,99.1,0.3,0,0.6,0,0,338,187,55.3,0,27.8,39,33.2,37.4,15,12.3,"15","15",15,0,0,0,0,10,4,0,1,0,93.3,6.7,174,479,448,480,305,89,203,59,102,30,32,9,5,1,342,95.8,78,298,338,99,206,60,132,39,3,1,0,0,341,99.7,82,297,"Level 1","Meeting gap narrowing goals",88,96,94,"Level 1","Meeting gap narrowing goals",96,94
